Reporter,Year,Partner,Product,MFNRate,AppliedTariff,TotalTariffLines,IsTraded
United States,2022,China,"030199 - Fish; live, n.e.s. in heading no. 0301",0,0,1,No
United States,2022,China,030344 - Bigeye tuna (Thunnus obesus),0,0,1,No
United States,2022,China,"020443 - Meat; of sheep (including lamb), boneless cuts, frozen",0.270690858,0.270690858,2,No
United States,2022,China,"030231 - Fish; albacore or longfinned tunas (thunnus alalunga), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,No
United States,2022,China,030359 - Other,0,0,1,Yes
United States,2022,China,"010391 - Swine; live, (other than pure-bred breeding animals), weighing less than 50kg",0,0,1,No
United States,2022,China,"020742 - Meat and edible offal; of turkeys, poultry cuts and offal (excluding livers), frozen",2.31052804,2.31052804,1,No
United States,2022,China,030259 - Other,1.5,1.5,2,No
United States,2022,China,"020630 - Offal, edible; of swine, fresh or chilled",0,0,1,No
United States,2022,China,"030241 - Herrings (Clupea harengus, Clupea pallasii)",0,0,1,No
United States,2022,China,030369 - Other,0,0,1,Yes
United States,2022,China,"020410 - Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",0.093608357,0.093608357,1,No
United States,2022,China,030214 - Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),0,0,1,No
United States,2022,China,"030349 - Fish; tuna, frozen, n.e.s. in item no. 0303.4 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,No
United States,2022,China,010614 - Rabbits and hares,0,0,1,No
United States,2022,China,020860 - Of camels and other camelids (Camelidae),6.400000095,6.400000095,1,No
United States,2022,China,030299 - Other,0,0,1,No
United States,2022,China,"020230 - Meat; of bovine animals, boneless cuts, frozen",7.98754549,7.98754549,7,No
United States,2022,China,"030192 - Fish; live, eels (anguilla spp.)",0,0,1,No
United States,2022,China,"030339 - Fish; flat fish, frozen, n.e.s. in item no. 0303.3 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0.551107287,0.551107287,1,Yes
United States,2022,China,010514 - Geese,0.139319807,0.139319807,1,No
United States,2022,China,"020754 - Other, fresh or chilled",1.916664004,1.916664004,1,No
United States,2022,China,030282 - Rays and skates (Rajidae),0,0,1,No
United States,2022,China,010190 - Other,2.25,2.25,2,No
United States,2022,China,"020713 - Cuts and offal, fresh or chilled",5.790326118,5.790326118,1,No
United States,2022,China,030249 - Other,0,0,1,No
United States,2022,China,030392 - Shark fins,4.665023804,4.665023804,1,No
